student_id,name,email
21521315,Trần Minh Mai,tranminhmai@student.hcmus.edu.vn
21521316,Vũ Hữu Hoa,vuhuuhoa@student.hcmus.edu.vn
21521317,Đặng Gia Uyên,danggiauyen@student.hcmus.edu.vn
21521318,Vũ Phương Hương,vuphuonghuong@student.hcmus.edu.vn
21521319,Hồ Thanh Nam,hothanhnam@student.hcmus.edu.vn
21521320,Hoàng Phương Sơn,hoangphuongson@student.hcmus.edu.vn
21521321,Phạm Văn Yến,phamvanyen@student.hcmus.edu.vn
21521322,Dương Phương Đạt,duongphuongdat@student.hcmus.edu.vn
21521323,Đặng Thu Sơn,dangthuson@student.hcmus.edu.vn
21521324,Lý Thị Yến,lythiyen@student.hcmus.edu.vn
21521325,Trần Thu Châu,tranthuchau@student.hcmus.edu.vn
21521326,Lý Ngọc Phát,lyngocphat@student.hcmus.edu.vn
21521327,Huỳnh Xuân Yến,huynhxuanyen@student.hcmus.edu.vn
21521328,Hồ Gia Uyên,hogiauyen@student.hcmus.edu.vn
21521329,Bùi Phương Linh,buiphuonglinh@student.hcmus.edu.vn
21521330,Đặng Thành Bình,dangthanhbinh@student.hcmus.edu.vn
21521331,Trần Đức Sơn,tranducson@student.hcmus.edu.vn
21521332,Nguyễn Minh Sơn,nguyenminhson@student.hcmus.edu.vn
